contact_id,loan_id,customer_id,contact_date,collector_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60002468,LN-504828,CUST-103867,2025-01-26,COL-1019,OUTBOUND_CALL,Outbound,Right Party Contact,True,435.0,False,CALL_CENTER,False
CTC-60002907,LN-505816,CUST-101509,2025-01-26,COL-1100,OUTBOUND_CALL,Outbound,Wrong Party,False,34.0,False,CALL_CENTER,False
CTC-60003533,LN-506991,CUST-107315,2025-01-26,COL-1116,OUTBOUND_CALL,Outbound,Right Party Contact,True,682.0,False,CALL_CENTER,False
CTC-60004089,LN-508102,CUST-105183,2025-01-26,COL-1044,OUTBOUND_CALL,Outbound,Right Party Contact,True,467.0,False,CALL_CENTER,False
CTC-60004747,LN-509470,CUST-103642,2025-01-26,COL-1025,OUTBOUND_CALL,Outbound,Busy,False,34.0,False,CALL_CENTER,False
CTC-60005170,LN-500285,CUST-105329,2025-01-26,COL-1065,OUTBOUND_CALL,Outbound,Right Party Contact,True,169.0,False,CALL_CENTER,False
CTC-60006779,LN-504384,CUST-103540,2025-01-26,COL-1073,OUTBOUND_CALL,Outbound,No Answer,False,40.0,False,CALL_CENTER,False
CTC-60006933,LN-504906,CUST-107996,2025-01-26,COL-1089,OUTBOUND_CALL,Outbound,Right Party Contact,True,364.0,False,CALL_CENTER,False
CTC-60007126,LN-505449,CUST-103180,2025-01-26,COL-1066,OUTBOUND_CALL,Outbound,Right Party Contact,True,656.0,False,CALL_CENTER,False
CTC-60007183,LN-505644,CUST-107805,2025-01-26,COL-1065,OUTBOUND_CALL,Outbound,Right Party Contact,True,217.0,False,CALL_CENTER,False
CTC-60007626,LN-506987,CUST-102595,2025-01-26,COL-1046,OUTBOUND_CALL,Outbound,No Answer,False,5.0,False,CALL_CENTER,False
CTC-60008638,LN-509599,CUST-103932,2025-01-26,COL-1054,OUTBOUND_CALL,Outbound,Wrong Party,False,9.0,False,CALL_CENTER,False
CTC-60009117,LN-500996,CUST-107247,2025-01-26,COL-1040,OUTBOUND_CALL,Outbound,Right Party Contact,True,593.0,False,CALL_CENTER,False
CTC-60009515,LN-502315,CUST-100338,2025-01-26,COL-1029,OUTBOUND_CALL,Outbound,Right Party Contact,True,200.0,False,CALL_CENTER,False
CTC-60010150,LN-504231,CUST-105630,2025-01-26,COL-1037,OUTBOUND_CALL,Outbound,Right Party Contact,True,127.0,False,CALL_CENTER,False
CTC-60010599,LN-505750,CUST-102299,2025-01-26,COL-1032,OUTBOUND_CALL,Outbound,No Answer,False,18.0,False,CALL_CENTER,False
CTC-60010744,LN-506243,CUST-100103,2025-01-26,COL-1049,OUTBOUND_CALL,Outbound,Right Party Contact,True,224.0,False,CALL_CENTER,False
CTC-60011273,LN-508179,CUST-105388,2025-01-26,COL-1058,OUTBOUND_CALL,Outbound,No Answer,False,22.0,False,CALL_CENTER,False
CTC-60011326,LN-508327,CUST-107558,2025-01-26,COL-1114,OUTBOUND_CALL,Outbound,Busy,False,25.0,False,CALL_CENTER,False
CTC-60011750,LN-509759,CUST-102993,2025-01-26,COL-1062,OUTBOUND_CALL,Outbound,Voicemail,False,38.0,False,CALL_CENTER,False
CTC-60013393,LN-503167,CUST-100448,2025-01-26,COL-1057,OUTBOUND_CALL,Outbound,Wrong Party,False,11.0,False,CALL_CENTER,False
CTC-60013440,LN-503210,CUST-106724,2025-01-26,COL-1003,OUTBOUND_CALL,Outbound,Right Party Contact,True,627.0,False,CALL_CENTER,False
CTC-60014063,LN-504087,CUST-106826,2025-01-26,COL-1093,OUTBOUND_CALL,Outbound,Wrong Party,False,40.0,False,CALL_CENTER,False
CTC-60014370,LN-504584,CUST-107570,2025-01-26,COL-1003,OUTBOUND_CALL,Outbound,Right Party Contact,True,493.0,False,CALL_CENTER,False
CTC-60015626,LN-506723,CUST-104943,2025-01-26,COL-1057,OUTBOUND_CALL,Outbound,No Answer,False,33.0,False,CALL_CENTER,False
CTC-60016100,LN-507721,CUST-104864,2025-01-26,COL-1094,OUTBOUND_CALL,Outbound,No Answer,False,29.0,False,CALL_CENTER,False
CTC-60016504,LN-508071,CUST-103390,2025-01-26,COL-1094,OUTBOUND_CALL,Outbound,Right Party Contact,True,573.0,False,CALL_CENTER,False
CTC-60017690,LN-509929,CUST-102914,2025-01-26,COL-1039,OUTBOUND_CALL,Outbound,Right Party Contact,True,124.0,False,CALL_CENTER,False
