ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700059,LN-500917,CUST-106385,CTC-60000501,COL-1070,2025-02-16,2025-02-21,171.11,Broken,0.0,
PTP-700182,LN-503475,CUST-103586,CTC-60001767,COL-1070,2025-02-16,2025-03-02,238.43,Partial,161.16,2025-03-02
PTP-700256,LN-504955,CUST-101983,CTC-60002529,COL-1116,2025-02-16,2025-02-20,196.02,Broken,0.0,
PTP-700482,LN-509254,CUST-101098,CTC-60004635,COL-1076,2025-02-16,2025-02-23,75.3,Kept,75.3,2025-02-16
PTP-700829,LN-508134,CUST-105326,CTC-60008082,COL-1115,2025-02-16,2025-02-18,259.2,Kept,259.2,2025-02-19
PTP-700923,LN-500569,CUST-103902,CTC-60009024,COL-1058,2025-02-16,2025-03-01,493.83,Broken,0.0,
PTP-700982,LN-502468,CUST-103345,CTC-60009567,COL-1098,2025-02-16,2025-02-22,414.77,Broken,0.0,
PTP-701017,LN-503612,CUST-105094,CTC-60009923,COL-1077,2025-02-16,2025-02-20,200.54,Kept,200.54,2025-02-20
PTP-701079,LN-505809,CUST-107198,CTC-60010617,COL-1117,2025-02-16,2025-02-26,553.41,Kept,553.41,2025-02-16
PTP-701592,LN-506576,CUST-105956,CTC-60015488,COL-1009,2025-02-16,2025-02-22,540.71,Broken,0.0,
PTP-701794,LN-509639,CUST-100827,CTC-60017501,COL-1118,2025-02-16,2025-02-22,342.15,Kept,342.15,2025-02-19
