payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9044660,LN-502722,CUST-100828,2025-06-17,2214.91,2214.91,Scheduled,Cash,Posted,False,False,,2025-06-17,2025-06-27,True,False
PMT-9044755,LN-500393,CUST-103364,2025-06-17,759.37,759.37,Scheduled,ACH,Posted,False,False,,2025-06-17,2025-06-27,True,False
PMT-9044768,LN-504717,CUST-101637,2025-06-17,911.29,911.29,Scheduled,Debit Card,Posted,False,False,,2025-06-17,2025-06-27,True,False
PMT-9044893,LN-506202,CUST-106733,2025-06-18,942.56,942.56,Scheduled,Cash,Posted,False,False,,2025-06-18,2025-06-27,True,False
PMT-9045057,LN-507376,CUST-102717,2025-06-18,1010.93,1010.93,Scheduled,ACH,Posted,False,False,,2025-06-18,2025-06-27,True,False
PMT-9045560,LN-507949,CUST-101033,2025-06-20,47.44,0.0,Extra,ACH,Posted,False,False,,2025-06-20,2025-06-27,True,False
PMT-9045722,LN-501275,CUST-106380,2025-06-20,615.43,615.43,Scheduled,Wire,Posted,False,False,,2025-06-20,2025-06-27,True,False
PMT-9045915,LN-508425,CUST-102101,2025-06-21,213.43,213.43,Scheduled,ACH,Posted,False,False,,2025-06-21,2025-06-27,True,False
PMT-9046372,LN-504140,CUST-101595,2025-06-22,278.48,0.0,Extra,Check,Posted,False,False,,2025-06-22,2025-06-27,True,False
PMT-9046549,LN-503486,CUST-106818,2025-06-23,328.61,328.61,Scheduled,Debit Card,Posted,False,False,,2025-06-23,2025-06-27,True,False
PMT-9046812,LN-503739,CUST-105919,2025-06-23,216.99,216.99,Scheduled,ACH,Posted,False,False,,2025-06-23,2025-06-27,True,False
PMT-9047328,LN-501231,CUST-101373,2025-06-25,425.02,425.02,Scheduled,ACH,Posted,False,False,,2025-06-25,2025-06-27,True,False
PMT-9047474,LN-507005,CUST-102672,2025-06-25,694.1,694.1,Scheduled,ACH,Posted,False,False,,2025-06-25,2025-06-27,True,False
PMT-9047842,LN-503089,CUST-101529,2025-06-27,883.98,883.98,Scheduled,ACH,Posted,False,False,,2025-06-27,2025-06-27,False,False
PMT-9047843,LN-501757,CUST-106446,2025-06-27,460.72,460.72,Scheduled,ACH,Posted,False,False,,2025-06-27,2025-06-27,False,False
PMT-9047844,LN-501711,CUST-104940,2025-06-27,145.51,145.51,Scheduled,ACH,Posted,False,False,,2025-06-27,2025-06-27,False,False
PMT-9047845,LN-506116,CUST-100706,2025-06-27,98.87,98.87,Scheduled,ACH,Posted,False,False,,2025-06-27,2025-06-27,False,False
PMT-9047846,LN-506101,CUST-102332,2025-06-27,1086.94,1086.94,Scheduled,Wire,Posted,False,False,,2025-06-27,2025-06-27,False,False
PMT-9047847,LN-502547,CUST-104472,2025-06-27,551.62,551.62,Scheduled,ACH,Posted,False,False,,2025-06-27,2025-06-27,False,False
