ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700034,LN-500584,CUST-101605,CTC-60000331,COL-1111,2025-06-04,2025-06-17,50.0,Kept,50.0,2025-06-09
PTP-700073,LN-501393,CUST-105393,CTC-60000746,COL-1067,2025-06-04,2025-06-09,50.0,Kept,50.0,2025-06-07
PTP-700089,LN-501699,CUST-100753,CTC-60000866,COL-1069,2025-06-04,2025-06-08,50.0,Partial,24.01,2025-06-08
PTP-700175,LN-503375,CUST-102266,CTC-60001705,COL-1079,2025-06-04,2025-06-18,136.85,Broken,0.0,
PTP-700227,LN-504464,CUST-105947,CTC-60002282,COL-1114,2025-06-04,2025-06-16,245.72,Kept,245.72,2025-06-07
PTP-700265,LN-505134,CUST-103895,CTC-60002616,COL-1104,2025-06-04,2025-06-17,132.92,Kept,132.92,2025-06-06
PTP-700578,LN-501141,CUST-101686,CTC-60005486,COL-1115,2025-06-04,2025-06-13,320.75,Kept,320.75,2025-06-08
PTP-700660,LN-503342,CUST-107133,CTC-60006347,COL-1066,2025-06-04,2025-06-12,324.57,Kept,324.57,2025-06-09
PTP-700782,LN-506712,CUST-105498,CTC-60007516,COL-1015,2025-06-04,2025-06-13,433.58,Kept,433.58,2025-06-08
PTP-701452,LN-504182,CUST-105755,CTC-60014172,COL-1113,2025-06-04,2025-06-18,429.84,Broken,0.0,
PTP-701492,LN-504906,CUST-107996,CTC-60014575,COL-1088,2025-06-04,2025-06-17,1232.17,Kept,1232.17,2025-06-04
