application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200009,CUST-107775,Personal,21996.36,R2,2025-05-18,Approved,2025-05-22,RISK_ENGINE
APP-201023,CUST-104112,HELOC,137005.95,R4,2025-05-18,Approved,2025-05-21,RISK_ENGINE
APP-201295,CUST-100086,Auto,17383.55,R4,2025-05-18,Approved,2025-05-20,RISK_ENGINE
APP-201658,CUST-102358,Auto,47551.9,R4,2025-05-18,Declined,2025-05-21,RISK_ENGINE
APP-201822,CUST-107545,Auto,42951.24,R3,2025-05-18,Approved,2025-05-19,RISK_ENGINE
APP-203534,CUST-101974,Auto,48916.83,R1,2025-05-18,Approved,2025-05-20,RISK_ENGINE
APP-204016,CUST-103871,Credit Card,14769.97,R1,2025-05-18,Approved,2025-05-22,RISK_ENGINE
APP-204783,CUST-100244,Personal,8060.85,R2,2025-05-18,Approved,2025-05-22,RISK_ENGINE
APP-204818,CUST-106860,Personal,4429.87,R3,2025-05-18,Approved,2025-05-20,RISK_ENGINE
APP-204888,CUST-106335,Mortgage,140497.32,R3,2025-05-18,Approved,2025-05-20,RISK_ENGINE
APP-205115,CUST-101637,Personal,27211.96,R5,2025-05-18,Approved,2025-05-19,RISK_ENGINE
APP-205942,CUST-107674,HELOC,57029.17,R3,2025-05-18,Approved,2025-05-22,RISK_ENGINE
APP-206977,CUST-100546,Auto,42140.24,R1,2025-05-18,Approved,2025-05-19,RISK_ENGINE
APP-207456,CUST-107959,Personal,17365.5,R4,2025-05-18,Declined,2025-05-20,RISK_ENGINE
APP-207703,CUST-101122,Auto,37058.09,R7,2025-05-18,Approved,2025-05-21,RISK_ENGINE
APP-208143,CUST-100048,Auto,52738.92,R3,2025-05-18,Declined,2025-05-22,RISK_ENGINE
APP-208521,CUST-101551,Auto,30505.11,R5,2025-05-18,Approved,2025-05-19,RISK_ENGINE
APP-208527,CUST-104832,Auto,14513.21,R1,2025-05-18,Approved,2025-05-22,RISK_ENGINE
