loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500138,APP-200147,CUST-106409,Auto,Auto Standard,2024-09-21,2024-09-22,14910.41,0.0677,64,True,Vehicle,4,R1,LOAN_SERVICING
LN-500787,APP-200843,CUST-100742,Auto,Auto Standard,2024-09-21,2024-09-21,48688.26,0.0774,70,True,Vehicle,10,R5,LOAN_SERVICING
LN-501354,APP-201455,CUST-102918,Personal,Personal Standard,2024-09-21,2024-09-21,7564.85,0.1188,35,False,None,20,R5,LOAN_SERVICING
LN-501540,APP-201659,CUST-101719,HELOC,HELOC Standard,2024-09-21,2024-09-21,120423.63,0.0978,76,True,Real Estate,22,R5,LOAN_SERVICING
LN-502723,APP-202952,CUST-101033,Personal,Personal Standard,2024-09-21,2024-09-23,13044.77,0.2079,52,False,None,10,R2,LOAN_SERVICING
LN-502796,APP-203027,CUST-101540,Personal,Personal Standard,2024-09-21,2024-09-21,22570.7,0.1177,30,False,None,8,R5,LOAN_SERVICING
LN-502825,APP-203056,CUST-106690,Auto,Auto Standard,2024-09-21,2024-09-22,31136.16,0.064,62,True,Vehicle,18,R1,LOAN_SERVICING
LN-502835,APP-203069,CUST-101962,Auto,Auto Standard,2024-09-21,2024-09-21,40617.4,0.079,58,True,Vehicle,17,R4,LOAN_SERVICING
LN-504241,APP-204602,CUST-100079,Auto,Auto Standard,2024-09-21,2024-09-21,11019.76,0.0728,52,True,Vehicle,5,R3,LOAN_SERVICING
LN-505531,APP-206010,CUST-101114,HELOC,HELOC Standard,2024-09-21,2024-09-23,42533.98,0.0974,124,True,Real Estate,11,R3,LOAN_SERVICING
LN-505829,APP-206335,CUST-107668,Credit Card,Credit Card Standard,2024-09-21,2024-09-22,3463.95,0.2182,0,False,None,22,R4,LOAN_SERVICING
LN-506187,APP-206718,CUST-103559,Auto,Auto Standard,2024-09-21,2024-09-21,18616.42,0.1097,69,True,Vehicle,21,R5,LOAN_SERVICING
LN-506251,APP-206793,CUST-103575,Personal,Personal Standard,2024-09-21,2024-09-21,18216.66,0.1935,23,False,None,8,R4,LOAN_SERVICING
LN-507554,APP-208206,CUST-105610,Auto,Auto Standard,2024-09-21,2024-09-22,27410.65,0.0689,62,True,Vehicle,11,R4,LOAN_SERVICING
LN-507955,APP-208629,CUST-105726,Auto,Auto Standard,2024-09-21,2024-09-22,44246.4,0.096,45,True,Vehicle,16,R3,LOAN_SERVICING
LN-507992,APP-208668,CUST-100098,Mortgage,Mortgage Standard,2024-09-21,2024-09-23,320373.68,0.0719,342,True,Real Estate,2,R3,LOAN_SERVICING
LN-508198,APP-208891,CUST-102083,Personal,Personal Standard,2024-09-21,2024-09-23,8105.58,0.1251,30,False,None,4,R3,LOAN_SERVICING
LN-508376,APP-209085,CUST-101282,Personal,Personal Standard,2024-09-21,2024-09-23,16053.2,0.159,27,False,None,14,R1,LOAN_SERVICING
LN-508635,APP-209367,CUST-103085,Auto,Auto Standard,2024-09-21,2024-09-22,39149.84,0.0774,67,True,Vehicle,26,R2,LOAN_SERVICING
LN-508824,APP-209569,CUST-106546,Auto,Auto Standard,2024-09-21,2024-09-21,20694.9,0.0962,70,True,Vehicle,17,R2,LOAN_SERVICING
LN-509949,APP-210793,CUST-101317,Auto,Auto Standard,2024-09-21,2024-09-23,11804.98,0.0594,52,True,Vehicle,2,R4,LOAN_SERVICING
