ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700233,LN-504616,CUST-105862,CTC-60002333,COL-1076,2025-01-06,2025-01-13,50.0,Kept,50.0,2025-01-15
PTP-700370,LN-507044,CUST-106808,CTC-60003562,COL-1078,2025-01-06,2025-01-19,68.08,Kept,68.08,2025-01-20
PTP-700454,LN-508749,CUST-106594,CTC-60004365,COL-1076,2025-01-06,2025-01-15,50.0,Kept,50.0,2025-01-08
PTP-700525,LN-509995,CUST-101532,CTC-60005054,COL-1044,2025-01-06,2025-01-12,70.08,Partial,17.8,2025-01-12
PTP-700836,LN-508327,CUST-107558,CTC-60008163,COL-1105,2025-01-06,2025-01-20,346.88,Broken,0.0,
PTP-700859,LN-508993,CUST-104811,CTC-60008388,COL-1105,2025-01-06,2025-01-13,213.29,Broken,0.0,
PTP-700869,LN-509314,CUST-101233,CTC-60008505,COL-1048,2025-01-06,2025-01-19,376.86,Kept,376.86,2025-01-19
PTP-700895,LN-509760,CUST-104373,CTC-60008709,COL-1065,2025-01-06,2025-01-18,223.56,Broken,0.0,
PTP-701053,LN-504835,CUST-101556,CTC-60010351,COL-1051,2025-01-06,2025-01-12,402.21,Kept,402.21,2025-01-06
PTP-701092,LN-506108,CUST-104175,CTC-60010707,COL-1086,2025-01-06,2025-01-12,597.91,Kept,597.91,2025-01-13
PTP-701268,LN-501288,CUST-104918,CTC-60012421,COL-1009,2025-01-06,2025-01-14,770.01,Kept,770.01,2025-01-06
PTP-701556,LN-506020,CUST-102989,CTC-60015162,COL-1083,2025-01-06,2025-01-11,769.97,Kept,769.97,2025-01-07
PTP-701594,LN-506638,CUST-105308,CTC-60015513,COL-1034,2025-01-06,2025-01-18,1473.24,Broken,0.0,
