application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200272,CUST-101809,Personal,5429.95,R5,2024-11-23,Approved,2024-11-24,RISK_ENGINE
APP-200963,CUST-107344,Personal,2656.75,R3,2024-11-23,Approved,2024-11-26,RISK_ENGINE
APP-201066,CUST-100100,Personal,28487.33,R5,2024-11-23,Approved,2024-11-26,RISK_ENGINE
APP-201107,CUST-103272,Credit Card,13585.97,R2,2024-11-23,Approved,2024-11-26,RISK_ENGINE
APP-201264,CUST-100852,Credit Card,18104.14,R4,2024-11-23,Approved,2024-11-27,RISK_ENGINE
APP-201469,CUST-102804,Auto,30773.66,R1,2024-11-23,Approved,2024-11-27,RISK_ENGINE
APP-201502,CUST-100176,Personal,27865.9,R5,2024-11-23,Approved,2024-11-26,RISK_ENGINE
APP-202594,CUST-104342,Auto,29569.09,R5,2024-11-23,Approved,2024-11-27,RISK_ENGINE
APP-202669,CUST-107163,Auto,24719.62,R1,2024-11-23,Approved,2024-11-25,RISK_ENGINE
APP-204452,CUST-106320,Personal,23393.68,R2,2024-11-23,Approved,2024-11-26,RISK_ENGINE
APP-204484,CUST-105517,Personal,8230.07,R5,2024-11-23,Approved,2024-11-26,RISK_ENGINE
APP-204605,CUST-100514,Mortgage,575929.52,R4,2024-11-23,Approved,2024-11-25,RISK_ENGINE
APP-207476,CUST-102295,Personal,5652.51,R6,2024-11-23,Approved,2024-11-25,RISK_ENGINE
APP-210384,CUST-104940,Auto,29896.12,R3,2024-11-23,Approved,2024-11-27,RISK_ENGINE
APP-210403,CUST-106001,Personal,26960.33,R4,2024-11-23,Approved,2024-11-24,RISK_ENGINE
