loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500124,APP-200133,CUST-106486,Credit Card,Credit Card Standard,2024-05-26,2024-05-28,3654.66,0.1792,0,False,None,5,R7,LOAN_SERVICING
LN-500790,APP-200846,CUST-101536,Credit Card,Credit Card Standard,2024-05-26,2024-05-27,13768.97,0.1742,0,False,None,10,R4,LOAN_SERVICING
LN-500948,APP-201015,CUST-106142,Personal,Personal Standard,2024-05-26,2024-05-26,4085.58,0.1161,58,False,None,18,R1,LOAN_SERVICING
LN-501052,APP-201123,CUST-101603,Personal,Personal Standard,2024-05-26,2024-05-28,3167.51,0.1195,26,False,None,15,R4,LOAN_SERVICING
LN-501268,APP-201361,CUST-103983,Auto,Auto Standard,2024-05-26,2024-05-28,12364.08,0.0631,61,True,Vehicle,28,R1,LOAN_SERVICING
LN-501559,APP-201680,CUST-107486,Auto,Auto Standard,2024-05-26,2024-05-28,18499.31,0.0865,58,True,Vehicle,22,R3,LOAN_SERVICING
LN-503083,APP-203335,CUST-105722,Credit Card,Credit Card Standard,2024-05-26,2024-05-27,22152.26,0.2447,0,False,None,15,R2,LOAN_SERVICING
LN-504488,APP-204861,CUST-106765,Auto,Auto Standard,2024-05-26,2024-05-26,53310.22,0.1014,71,True,Vehicle,4,R1,LOAN_SERVICING
LN-504903,APP-205316,CUST-102879,Credit Card,Credit Card Standard,2024-05-26,2024-05-27,11101.17,0.2458,0,False,None,11,R3,LOAN_SERVICING
LN-504922,APP-205336,CUST-107446,Auto,Auto Standard,2024-05-26,2024-05-28,30011.1,0.0886,69,True,Vehicle,4,R4,LOAN_SERVICING
LN-505273,APP-205728,CUST-102369,Auto,Auto Standard,2024-05-26,2024-05-27,14721.08,0.0682,56,True,Vehicle,7,R7,LOAN_SERVICING
LN-506255,APP-206797,CUST-106015,Auto,Auto Standard,2024-05-26,2024-05-26,41676.2,0.0773,63,True,Vehicle,6,R6,LOAN_SERVICING
LN-507652,APP-208308,CUST-104371,Personal,Personal Standard,2024-05-26,2024-05-28,34132.23,0.2132,33,False,None,19,R3,LOAN_SERVICING
LN-507767,APP-208428,CUST-106239,Auto,Auto Standard,2024-05-26,2024-05-26,49059.55,0.0985,38,True,Vehicle,18,R4,LOAN_SERVICING
LN-507826,APP-208492,CUST-100641,Auto,Auto Standard,2024-05-26,2024-05-26,54487.13,0.0529,58,True,Vehicle,10,R4,LOAN_SERVICING
LN-508358,APP-209067,CUST-102420,Credit Card,Credit Card Standard,2024-05-26,2024-05-26,15120.97,0.1833,0,False,None,17,R2,LOAN_SERVICING
LN-509688,APP-210509,CUST-106395,Auto,Auto Standard,2024-05-26,2024-05-27,12499.51,0.0674,50,True,Vehicle,26,R3,LOAN_SERVICING
