ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700184,LN-503477,CUST-104655,CTC-60001773,COL-1114,2025-05-19,2025-05-27,207.51,Broken,0.0,
PTP-700296,LN-505845,CUST-100606,CTC-60002936,COL-1089,2025-05-19,2025-06-01,59.3,Partial,26.22,2025-06-01
PTP-700390,LN-507569,CUST-104189,CTC-60003819,COL-1020,2025-05-19,2025-05-24,150.36,Partial,101.21,2025-05-24
PTP-700428,LN-508198,CUST-102083,CTC-60004138,COL-1056,2025-05-19,2025-05-25,142.8,Kept,142.8,2025-05-24
PTP-700443,LN-508571,CUST-105452,CTC-60004303,COL-1079,2025-05-19,2025-05-23,83.44,Broken,0.0,
PTP-700478,LN-509212,CUST-105860,CTC-60004614,COL-1111,2025-05-19,2025-06-02,50.0,Kept,50.0,2025-06-02
PTP-700638,LN-502826,CUST-101352,CTC-60006160,COL-1015,2025-05-19,2025-05-28,172.67,Kept,172.67,2025-05-30
PTP-700910,LN-500156,CUST-106597,CTC-60008924,COL-1037,2025-05-19,2025-05-31,693.43,Kept,693.43,2025-06-02
PTP-700981,LN-502396,CUST-105786,CTC-60009548,COL-1042,2025-05-19,2025-05-21,637.92,Broken,0.0,
PTP-701001,LN-503227,CUST-103420,CTC-60009780,COL-1086,2025-05-19,2025-05-29,308.03,Kept,308.03,2025-05-23
PTP-701006,LN-503313,CUST-107019,CTC-60009840,COL-1053,2025-05-19,2025-05-23,337.07,Kept,337.07,2025-05-21
PTP-701021,LN-503710,CUST-106661,CTC-60009955,COL-1109,2025-05-19,2025-06-01,647.41,Kept,647.41,2025-05-31
PTP-701293,LN-501701,CUST-104772,CTC-60012685,COL-1084,2025-05-19,2025-05-27,870.21,Kept,870.21,2025-05-21
PTP-701432,LN-503956,CUST-103891,CTC-60014005,COL-1075,2025-05-19,2025-05-29,928.7,Kept,928.7,2025-05-21
PTP-701735,LN-508699,CUST-106993,CTC-60016978,COL-1036,2025-05-19,2025-05-31,789.61,Kept,789.61,2025-05-29
