ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700414,LN-508060,CUST-104334,CTC-60004061,COL-1090,2025-05-01,2025-05-10,116.0,Kept,116.0,2025-05-09
PTP-700455,LN-508770,CUST-101528,CTC-60004377,COL-1104,2025-05-01,2025-05-11,110.05,Broken,0.0,
PTP-700519,LN-509861,CUST-100070,CTC-60004964,COL-1104,2025-05-01,2025-05-04,50.0,Kept,50.0,2025-05-06
PTP-700538,LN-500040,CUST-102235,CTC-60005112,COL-1018,2025-05-01,2025-05-14,397.55,Kept,397.55,2025-05-12
PTP-700544,LN-500233,CUST-105377,CTC-60005158,COL-1001,2025-05-01,2025-05-07,373.36,Partial,153.69,2025-05-07
PTP-700731,LN-505433,CUST-105674,CTC-60007115,COL-1008,2025-05-01,2025-05-13,330.13,Kept,330.13,2025-05-08
PTP-700756,LN-505927,CUST-102626,CTC-60007294,COL-1074,2025-05-01,2025-05-10,252.26,Kept,252.26,2025-05-09
PTP-700840,LN-508375,CUST-100200,CTC-60008185,COL-1064,2025-05-01,2025-05-09,279.43,Broken,0.0,
PTP-700848,LN-508695,CUST-105889,CTC-60008280,COL-1018,2025-05-01,2025-05-03,139.38,Partial,58.61,2025-05-03
PTP-700908,LN-500019,CUST-105349,CTC-60008886,COL-1053,2025-05-01,2025-05-04,292.53,Broken,0.0,
PTP-700956,LN-501673,CUST-106790,CTC-60009333,COL-1004,2025-05-01,2025-05-12,430.47,Kept,430.47,2025-05-12
PTP-700957,LN-501701,CUST-104772,CTC-60009340,COL-1047,2025-05-01,2025-05-05,742.78,Broken,0.0,
PTP-701068,LN-505460,CUST-104653,CTC-60010537,COL-1117,2025-05-01,2025-05-15,424.73,Broken,0.0,
PTP-701116,LN-506959,CUST-100577,CTC-60010900,COL-1117,2025-05-01,2025-05-07,233.25,Kept,233.25,2025-05-07
PTP-701642,LN-507559,CUST-100595,CTC-60016040,COL-1017,2025-05-01,2025-05-10,857.33,Kept,857.33,2025-05-08
