ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700323,LN-506309,CUST-103247,CTC-60003164,COL-1044,2025-03-25,2025-04-03,50.0,Kept,50.0,2025-03-25
PTP-700424,LN-508143,CUST-103652,CTC-60004114,COL-1067,2025-03-25,2025-04-04,58.13,Kept,58.13,2025-04-06
PTP-700487,LN-509325,CUST-105196,CTC-60004666,COL-1111,2025-03-25,2025-03-27,50.0,Kept,50.0,2025-03-27
PTP-700841,LN-508391,CUST-102370,CTC-60008200,COL-1072,2025-03-25,2025-04-08,405.21,Broken,0.0,
PTP-700994,LN-502761,CUST-104494,CTC-60009672,COL-1104,2025-03-25,2025-03-28,695.48,Kept,695.48,2025-03-25
PTP-701024,LN-503773,CUST-105339,CTC-60009986,COL-1117,2025-03-25,2025-03-30,755.19,Kept,755.19,2025-03-26
PTP-701129,LN-507737,CUST-106439,CTC-60011107,COL-1051,2025-03-25,2025-04-06,250.08,Kept,250.08,2025-04-01
PTP-701145,LN-508103,CUST-104940,CTC-60011237,COL-1110,2025-03-25,2025-04-07,465.0,Broken,0.0,
PTP-701366,LN-503117,CUST-102869,CTC-60013353,COL-1075,2025-03-25,2025-04-06,476.82,Kept,476.82,2025-04-02
PTP-701409,LN-503729,CUST-104601,CTC-60013842,COL-1093,2025-03-25,2025-03-30,1811.0,Kept,1811.0,2025-03-31
PTP-701549,LN-505917,CUST-104586,CTC-60015077,COL-1057,2025-03-25,2025-04-08,1036.47,Kept,1036.47,2025-04-02
PTP-701575,LN-506319,CUST-105682,CTC-60015394,COL-1022,2025-03-25,2025-04-01,1370.5,Kept,1370.5,2025-04-02
PTP-701635,LN-507457,CUST-105975,CTC-60015979,COL-1006,2025-03-25,2025-04-04,1075.12,Partial,564.55,2025-04-04
