payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9023591,LN-500246,CUST-103962,2025-04-07,482.61,482.61,Scheduled,ACH,Posted,False,False,,2025-04-07,2025-04-17,True,False
PMT-9024012,LN-502308,CUST-102942,2025-04-08,1099.28,1099.28,Scheduled,Check,Posted,False,False,,2025-04-08,2025-04-17,True,False
PMT-9024073,LN-501595,CUST-106103,2025-04-09,87.6,87.6,Scheduled,ACH,Posted,False,False,,2025-04-09,2025-04-17,True,False
PMT-9024246,LN-506495,CUST-101987,2025-04-09,795.78,795.78,Scheduled,ACH,Posted,False,False,,2025-04-09,2025-04-17,True,False
PMT-9024593,LN-504775,CUST-107493,2025-04-11,524.25,524.25,Scheduled,Check,Posted,False,False,,2025-04-11,2025-04-17,True,False
PMT-9025964,LN-508143,CUST-103652,2025-04-15,373.15,373.15,Scheduled,Check,Posted,False,False,,2025-04-15,2025-04-17,True,False
PMT-9026363,LN-501793,CUST-105068,2025-04-17,246.58,0.0,Extra,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026364,LN-504979,CUST-100912,2025-04-17,259.22,259.22,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026365,LN-506455,CUST-101589,2025-04-17,580.53,580.53,Scheduled,Wire,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026366,LN-506447,CUST-104621,2025-04-17,469.64,469.64,Scheduled,Debit Card,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026367,LN-501787,CUST-104897,2025-04-17,81.16,81.16,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026368,LN-502338,CUST-101379,2025-04-17,1062.7,1062.7,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026369,LN-500694,CUST-103561,2025-04-17,623.48,623.48,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026370,LN-504286,CUST-102584,2025-04-17,325.58,325.58,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026371,LN-506765,CUST-101563,2025-04-17,112.92,0.0,Extra,Check,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026372,LN-508016,CUST-102640,2025-04-17,148.34,148.34,Scheduled,Debit Card,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026373,LN-508632,CUST-102799,2025-04-17,668.0,668.0,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026374,LN-501148,CUST-100578,2025-04-17,1134.21,1134.21,Scheduled,Check,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026375,LN-500947,CUST-107482,2025-04-17,642.32,642.32,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026376,LN-507002,CUST-106522,2025-04-17,646.37,646.37,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026377,LN-507567,CUST-103388,2025-04-17,685.13,685.13,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026378,LN-509959,CUST-104392,2025-04-17,484.23,484.23,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026379,LN-500052,CUST-107189,2025-04-17,76.23,0.0,Extra,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026380,LN-506658,CUST-100895,2025-04-17,1018.59,1018.59,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026381,LN-509589,CUST-101790,2025-04-17,599.64,599.64,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026382,LN-508324,CUST-106008,2025-04-17,374.81,374.81,Scheduled,Check,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026383,LN-500144,CUST-101406,2025-04-17,355.4,355.4,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026384,LN-509324,CUST-107937,2025-04-17,578.95,578.95,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026385,LN-505909,CUST-107510,2025-04-17,198.16,198.16,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026386,LN-506030,CUST-105843,2025-04-17,308.57,0.0,Extra,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026387,LN-502734,CUST-101268,2025-04-17,274.34,274.34,Scheduled,Wire,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026388,LN-509869,CUST-101037,2025-04-17,520.54,520.54,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026389,LN-507654,CUST-103627,2025-04-17,413.57,413.57,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026390,LN-502393,CUST-102949,2025-04-17,889.31,889.31,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026391,LN-504203,CUST-103673,2025-04-17,1013.09,1013.09,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026392,LN-500946,CUST-107571,2025-04-17,1372.86,1372.86,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026393,LN-509543,CUST-104640,2025-04-17,395.08,395.08,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026394,LN-504729,CUST-106152,2025-04-17,583.05,583.05,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026395,LN-506913,CUST-100625,2025-04-17,836.18,836.18,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026396,LN-503648,CUST-107592,2025-04-17,240.14,0.0,Extra,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026397,LN-500322,CUST-104946,2025-04-17,335.07,0.0,Extra,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026398,LN-500753,CUST-107199,2025-04-17,2293.7,2293.7,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026399,LN-506423,CUST-106312,2025-04-17,493.1,493.1,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026400,LN-508583,CUST-105317,2025-04-17,238.71,238.71,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026401,LN-503900,CUST-102612,2025-04-17,128.51,128.51,Scheduled,Debit Card,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026402,LN-507279,CUST-103616,2025-04-17,306.16,0.0,Extra,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026403,LN-509650,CUST-102019,2025-04-17,137.07,137.07,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026404,LN-505262,CUST-101154,2025-04-17,981.63,981.63,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026405,LN-506420,CUST-106845,2025-04-17,172.27,172.27,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026406,LN-503018,CUST-105046,2025-04-17,722.61,722.61,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026407,LN-509212,CUST-105860,2025-04-17,194.9,194.9,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026408,LN-502845,CUST-100507,2025-04-17,618.14,618.14,Scheduled,Debit Card,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026409,LN-503619,CUST-105182,2025-04-17,912.17,912.17,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026410,LN-503203,CUST-102003,2025-04-17,751.97,751.97,Scheduled,ACH,Posted,False,False,,2025-04-17,2025-04-17,False,False
PMT-9026411,LN-501781,CUST-106277,2025-04-17,160.18,160.18,Scheduled,Cash,Posted,False,False,,2025-04-17,2025-04-17,False,False
